num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
3430000,855001,0.050000000000000044,0.0026224134489893913,0.916,0.07,0.846,9.812,2,88.11760288921771
3440000,857501,0.050000000000000044,0.001502511091530323,0.93,0.052,0.878,10.43,2,88.1163419466525
3450000,860001,0.050000000000000044,0.005294983275234699,0.912,0.068,0.844,9.656,2,88.11777417654162
3460000,862501,0.050000000000000044,0.008272986859083176,0.928,0.05,0.878,9.72,2,88.1170061985962
3470000,865001,0.050000000000000044,0.007036415860056877,0.922,0.06,0.862,10.496,2,88.1172791994765
3480000,867501,0.050000000000000044,0.002004418522119522,0.926,0.06,0.866,10.776,2,88.12035592057242
3490000,870001,0.050000000000000044,0.014989778399467468,0.924,0.062,0.862,9.29,2,88.1220978981614
3500000,872501,0.050000000000000044,0.011264899745583534,0.918,0.058,0.86,10.168,2,88.12051174550285
3510000,875001,0.050000000000000044,0.002857219660654664,0.93,0.062,0.868,9.794,2,88.1234217495532
3520000,877501,0.050000000000000044,0.003980924375355244,0.93,0.054,0.876,10.426,2,88.11895283288078
3530000,880001,0.050000000000000044,0.002961875405162573,0.914,0.054,0.86,11.284,2,88.12484042028031
3540000,882501,0.050000000000000044,0.012680385261774063,0.93,0.056,0.874,10.148,2,88.11840808471935
3550000,885001,0.050000000000000044,0.010568482801318169,0.934,0.048,0.886,10.244,2,88.11397633430585
3560000,887501,0.050000000000000044,0.012232465669512749,0.918,0.07,0.848,10.444,2,88.11529726658891
3570000,890001,0.050000000000000044,0.001637947978451848,0.92,0.062,0.858,11.078,2,88.11553857889973
3580000,892501,0.050000000000000044,0.0023691654205322266,0.914,0.062,0.852,10.998,2,88.10990970866403
3590000,895001,0.050000000000000044,0.004541956353932619,0.918,0.058,0.86,10.146,2,88.11647494332074
3600000,897501,0.050000000000000044,0.0022407977376133204,0.924,0.068,0.856,9.954,2,88.1117194502491
3610000,900001,0.050000000000000044,0.009726010262966156,0.94,0.054,0.886,8.464,2,88.11576277700608
3620000,902501,0.050000000000000044,0.0021270045544952154,0.912,0.068,0.844,10.382,2,88.11925935751515
3630000,905001,0.050000000000000044,0.0014655428240075707,0.922,0.07,0.852,9.45,2,88.11778514727239
3640000,907501,0.050000000000000044,0.009639780968427658,0.932,0.058,0.874,9.398,2,88.1176984659866
3650000,910001,0.050000000000000044,0.003202210646122694,0.934,0.056,0.878,10.052,2,88.11813003574105
3660000,912501,0.050000000000000044,0.0037881305906921625,0.912,0.062,0.85,11.092,2,88.12705898194343
3670000,915001,0.050000000000000044,0.002788941143080592,0.924,0.06,0.864,9.848,2,88.1231618379706
3680000,917501,0.050000000000000044,0.001862953184172511,0.928,0.056,0.872,9.984,2,88.12632702273677
3690000,920001,0.050000000000000044,0.01190305408090353,0.922,0.062,0.86,9.93,2,88.1309017677757
3700000,922501,0.050000000000000044,0.0016574915498495102,0.94,0.048,0.892,10.202,2,88.12760605419625
3710000,925001,0.050000000000000044,0.002029889030382037,0.918,0.068,0.85,9.372,2,88.1246109936012
3720000,927501,0.050000000000000044,0.012598621658980846,0.946,0.042,0.904,9.328,2,88.12820418571286
3730000,930001,0.050000000000000044,0.0017229424556717277,0.93,0.058,0.872,10.012,2,88.12373154335629
3740000,932501,0.050000000000000044,0.002906604204326868,0.928,0.056,0.872,10.302,2,88.12797166109483
3750000,935001,0.050000000000000044,0.0027006149757653475,0.924,0.06,0.864,8.798,2,88.12899482902172
3760000,937501,0.050000000000000044,0.00204489566385746,0.924,0.066,0.858,9.334,2,88.13024570762157
3770000,940001,0.050000000000000044,0.011723702773451805,0.93,0.056,0.874,9.84,2,88.13433136984898
3780000,942501,0.050000000000000044,0.0014725851360708475,0.93,0.05,0.88,10.304,2,88.12690674388408
3790000,945001,0.050000000000000044,0.0019894856959581375,0.928,0.06,0.868,9.644,2,88.12184681453502
3800000,947501,0.050000000000000044,0.00240464904345572,0.922,0.058,0.864,9.832,2,88.1257920860043
3810000,950001,0.050000000000000044,0.0021070269867777824,0.926,0.056,0.87,10.1,2,88.12378840379623
3820000,952501,0.050000000000000044,0.0017074764473363757,0.936,0.044,0.892,10.866,2,88.1260304308098
3830000,955001,0.050000000000000044,0.011372380889952183,0.934,0.058,0.876,9.914,2,88.12588416577505
3840000,957501,0.050000000000000044,0.0020729051902890205,0.912,0.064,0.848,10.212,2,88.12288034966181
3850000,960001,0.050000000000000044,0.0022422748152166605,0.94,0.038,0.902,9.772,2,88.12399998936955
3860000,962501,0.050000000000000044,0.013455868698656559,0.942,0.042,0.9,9.708,2,88.12811303793578
3870000,965001,0.050000000000000044,0.002011724514886737,0.934,0.056,0.878,9.674,2,88.12617780102411
3880000,967501,0.050000000000000044,0.0021334311459213495,0.914,0.068,0.846,10.148,2,88.12986892110392
3890000,970001,0.050000000000000044,0.005364537704735994,0.922,0.058,0.864,9.31,2,88.13735873376773
3900000,972501,0.050000000000000044,0.001909574493765831,0.91,0.076,0.834,8.63,2,88.11961169922556
3910000,975001,0.050000000000000044,0.0025370479561388493,0.95,0.038,0.912,9.168,2,88.11670218745562
3920000,977501,0.050000000000000044,0.0022985665127635,0.94,0.048,0.892,9.378,2,88.11963370153103
3930000,980001,0.050000000000000044,0.0017038665246218443,0.936,0.044,0.892,10.704,2,88.12175056177144
3940000,982501,0.050000000000000044,0.0023817243054509163,0.928,0.054,0.874,10.412,2,88.12074484602586
3950000,985001,0.050000000000000044,0.0021271412260830402,0.928,0.054,0.874,9.922,2,88.12041900587366
3960000,987501,0.050000000000000044,0.0021571246907114983,0.922,0.06,0.862,9.342,2,88.12288807814645
3970000,990001,0.050000000000000044,0.0025460608303546906,0.946,0.046,0.9,9.032,2,88.11958005471055
3980000,992501,0.050000000000000044,0.013034453615546227,0.936,0.048,0.888,9.42,2,88.12542064731927
3990000,995001,0.050000000000000044,0.010466843843460083,0.942,0.048,0.894,8.902,2,88.12768961119986
4000000,997501,0.050000000000000044,0.0021095103584229946,0.926,0.06,0.866,9.89,2,88.12907331421668
4010000,1000001,0.050000000000000044,0.0019197639776393771,0.94,0.044,0.896,9.41,2,88.13311717090481
4020000,1002501,0.050000000000000044,0.0042387573048472404,0.932,0.048,0.884,10.444,2,88.1384613599656
4030000,1005001,0.050000000000000044,0.0016223338898271322,0.922,0.054,0.868,10.76,2,88.1404902316987
4040000,1007501,0.050000000000000044,0.011685183271765709,0.91,0.076,0.834,10.744,2,88.13897463347104
4050000,1010001,0.050000000000000044,0.0025749164633452892,0.926,0.048,0.878,11.154,2,88.1347817916013
4060000,1012501,0.050000000000000044,0.0018291648011654615,0.938,0.048,0.89,9.438,2,88.13949916056734
4070000,1015001,0.050000000000000044,0.0019612249452620745,0.934,0.056,0.878,10.02,2,88.1472559484662
4080000,1017501,0.050000000000000044,0.0023601893335580826,0.94,0.048,0.892,9.506,2,88.14678914807129
4090000,1020001,0.050000000000000044,0.0019514509476721287,0.932,0.05,0.882,9.454,2,88.14490492158785
4100000,1022501,0.050000000000000044,0.002682532649487257,0.938,0.05,0.888,9.184,2,88.14016111589861
4110000,1025001,0.050000000000000044,0.0020846312399953604,0.932,0.056,0.876,9.66,2,88.13636243606001
4120000,1027501,0.050000000000000044,0.0018583362689241767,0.924,0.058,0.866,10.022,2,88.13370189573223
4130000,1030001,0.050000000000000044,0.0030147056095302105,0.922,0.066,0.856,8.698,2,88.1324208738672
4140000,1032501,0.050000000000000044,0.004566771909594536,0.91,0.07,0.84,9.93,2,88.12678614246455
4150000,1035001,0.050000000000000044,0.003061137394979596,0.938,0.044,0.894,8.794,2,88.12973822691576
4160000,1037501,0.050000000000000044,0.0014780305791646242,0.93,0.046,0.884,10.284,2,88.1320830885728
4170000,1040001,0.050000000000000044,0.003104297211393714,0.934,0.05,0.884,9.12,2,88.12743856787893
4180000,1042501,0.050000000000000044,0.002027528127655387,0.938,0.054,0.884,9.27,2,88.12190892792538
4190000,1045001,0.050000000000000044,0.0018099910812452435,0.934,0.05,0.884,9.924,2,88.1253584377431
4200000,1047501,0.050000000000000044,0.0017530783079564571,0.956,0.032,0.924,8.782,3,88.1160273353068
4210000,1050001,0.050000000000000044,0.0029721998143941164,0.854,0.11,0.744,14.014,3,88.10365195882719
4220000,1052501,0.050000000000000044,0.0026909364387392998,0.866,0.106,0.76,13.64,3,88.04057221011318
4230000,1055001,0.050000000000000044,0.0016896843444555998,0.88,0.104,0.776,13.028,3,87.9636910497236
4240000,1057501,0.050000000000000044,0.007286972366273403,0.848,0.122,0.726,14.776,3,87.88869289102152
4250000,1060001,0.050000000000000044,0.0014664127957075834,0.866,0.1,0.766,13.692,3,87.80840977800099
